,link_id,well_id,latitude,longitude,purpose
13,13,UW PRB #1 - API number 49-005-72720,,,
13,13,UW PRB #2,,,
13,13,,,,
13,13,,,,
13,13,,,,
13,13,,,,
13,13,,,,
14,14,UW PRB #1 - API number 49-005-72720,,,
14,14,UW PRB #2,,,
14,14,,,,
14,14,,,,
14,14,,,,
14,14,,,,
14,14,,,,
15,15,UW PRB #1 - API number 49-005-72720,,,
15,15,UW PRB #2,,,
15,15,,,,
15,15,,,,
15,15,,,,
15,15,,,,
15,15,,,,
16,16,UW PRB #1 - API number 49-005-72720,,,
16,16,UW PRB #2,,,
16,16,,,,
16,16,,,,
16,16,,,,
16,16,,,,
16,16,,,,
19,19,Well 4534,,,Reservoir Surveillance
19,19,,,,
19,19,Well 4633,,,Environmental (Shallow) Monitoring
19,19,,,,
19,19,,,,
19,19,Well 0043,,,Other
19,19,,,,
21,21,UW PRB#1,,,Reservoir Surveillance
21,21,UW PRB#2,,,Reservoir Surveillance
21,21,,,,
21,21,,,,
21,21,,,,
21,21,,,,
21,21,,,,
22,22,UW PRB #1 - API number 49-005-72720,,,Other
22,22,UW PRB#2,,,Other
22,22,,,,
22,22,,,,
22,22,,,,
22,22,,,,
22,22,,,,
